month,group_id,members,size,pooled_target_mean_MW,pooled_target_energy_MWh
3,G008,115_STEAM_3,1,48.359871945237714,8124.458486799936
3,G009,116_STEAM_1,1,4.92125189805697e-13,8.267703188735709e-11
3,G010,118_CC_1,1,9.537344459160868e-14,1.602273869139026e-11
3,G011,123_STEAM_2,1,86.32496058545216,14502.593378355963
3,G012,123_STEAM_3,1,17.253812059523923,2898.640426000019
3,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
3,G014,121_NUCLEAR_1,1,358.2904190535725,60192.79040100019
3,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,111.34285714285713,18705.6
3,G016,113_PV_1,1,25.31964285714286,4253.700000000001
3,G017,102_PV_1,1,6.64047619047619,1115.6
3,G018,101_PV_1,1,6.622619047619047,1112.6
3,G019,102_PV_2,1,6.572023809523809,1104.1
3,G020,104_PV_1,1,6.759523809523809,1135.6
3,G021,101_PV_2,1,6.633333333333334,1114.4
3,G022,101_PV_3,1,6.766071428571429,1136.7
3,G023,101_PV_4,1,7.0702380952380945,1187.8
3,G024,103_PV_1,1,12.88452380952381,2164.6
3,G025,119_PV_1,1,14.030357142857145,2357.1000000000004
3,G026,122_WIND_1,1,313.88625823299776,52732.89138314362
4,G001,101_CT_1;101_CT_2,2,4.55152037081858e-14,7.646554222975215e-12
4,G002,101_STEAM_3;101_STEAM_4,2,2.308409904761933,387.81286400000477
4,G003,102_CT_1;102_CT_2,2,-1.9917806806279546e-13,-3.3461915434549635e-11
4,G004,102_STEAM_3;102_STEAM_4,2,42.11206850535706,7074.827508899985
4,G005,107_CC_1,1,-5.921189464667503e-16,-9.947598300641405e-14
4,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,1.2423593899667041e-14,2.087163775144063e-12
4,G007,115_STEAM_1;115_STEAM_2,2,-2.1594002250154827e-13,-3.627792378026011e-11
4,G008,115_STEAM_3,1,73.59854149702377,12364.554971499994
4,G009,116_STEAM_1,1,5.316223238743547e-14,8.931255041089159e-12
4,G010,118_CC_1,1,1.0378999247352892e-13,1.743671873555286e-11
4,G011,123_STEAM_2,1,115.97291976488086,19483.450520499984
4,G012,123_STEAM_3,1,19.314081892857203,3244.76575800001
4,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
4,G014,121_NUCLEAR_1,1,392.21831895833384,65892.67758500008
4,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,182.05357142857142,30584.999999999996
4,G016,113_PV_1,1,23.517261904761902,3950.8999999999996
4,G017,102_PV_1,1,7.125,1197.0
4,G018,101_PV_1,1,6.60952380952381,1110.4
4,G019,102_PV_2,1,7.423214285714285,1247.1
4,G020,104_PV_1,1,7.1380952380952385,1199.2
4,G021,101_PV_2,1,7.490476190476191,1258.4
4,G022,101_PV_3,1,7.219642857142857,1212.8999999999999
4,G023,101_PV_4,1,7.236904761904761,1215.7999999999997
4,G024,103_PV_1,1,13.431547619047619,2256.5
4,G025,119_PV_1,1,14.845833333333333,2494.1
4,G026,122_WIND_1,1,172.6855723238091,29011.17615039993
5,G001,101_CT_1;101_CT_2,2,-1.2910333200148438e-11,-2.1689359776249374e-09
5,G002,101_STEAM_3;101_STEAM_4,2,4.524509319642791,760.1175656999889
5,G003,102_CT_1;102_CT_2,2,1.2672499356343701e-11,2.128979891865742e-09
5,G004,102_STEAM_3;102_STEAM_4,2,74.86177311329682,12576.777883033865
5,G005,107_CC_1,1,-5.764700885958431e-14,-9.684697488410164e-12
5,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,-1.2833566881156226e-13,-2.1560392360342462e-11
5,G007,115_STEAM_1;115_STEAM_2,2,-1.2937294835713714e-12,-2.173465532399904e-10
5,G008,115_STEAM_3,1,103.59643180357129,17404.200542999977
5,G009,116_STEAM_1,1,4.66347400000013,783.4636320000218
5,G010,118_CC_1,1,6.276460832547552e-14,1.0544454198679887e-11
5,G011,123_STEAM_2,1,130.44087302995052,21914.066669031687
5,G012,123_STEAM_3,1,72.64297201190637,12204.019298000268
5,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
5,G014,121_NUCLEAR_1,1,387.71428571428515,65135.999999999905
5,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,160.27142857142857,26925.599999999995
5,G016,113_PV_1,1,31.196428571428573,5241.0
5,G017,102_PV_1,1,9.063095238095238,1522.6
5,G018,101_PV_1,1,9.132738095238095,1534.3
5,G019,102_PV_2,1,9.142857142857142,1536.0
5,G020,104_PV_1,1,9.200595238095238,1545.6999999999998
5,G021,101_PV_2,1,9.061309523809525,1522.3000000000002
5,G022,101_PV_3,1,9.073809523809524,1524.4
5,G023,101_PV_4,1,9.257738095238096,1555.3000000000002
5,G024,103_PV_1,1,16.955357142857142,2848.5
5,G025,119_PV_1,1,16.70416666666667,2806.3
5,G026,122_WIND_1,1,170.17736463175285,28589.79725813448
6,G001,101_CT_1;101_CT_2,2,-1.5275041570844253e-11,-2.5662069839018347e-09
6,G002,101_STEAM_3;101_STEAM_4,2,30.543118153907926,5131.243849856532
6,G003,102_CT_1;102_CT_2,2,1.6838440889960565e-11,2.828858069513375e-09
6,G004,102_STEAM_3;102_STEAM_4,2,105.31306970738297,17692.595710840338
6,G005,107_CC_1,1,35.48613222201321,5961.670213298219
6,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,3.4335133942369515e-14,5.768302502318079e-12
6,G007,115_STEAM_1;115_STEAM_2,2,-2.035385418409588e-12,-3.419447502928108e-10
6,G008,115_STEAM_3,1,128.40055227542874,21571.292782272027
6,G009,116_STEAM_1,1,48.18475207738129,8095.038349000057
6,G010,118_CC_1,1,16.194191057748508,2720.624097701749
6,G011,123_STEAM_2,1,140.6864505518889,23635.323692717335
6,G012,123_STEAM_3,1,174.68933398498675,29347.808109477774
6,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
6,G014,121_NUCLEAR_1,1,387.85714285714226,65159.9999999999
6,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,167.54285714285717,28147.199999999997
6,G016,113_PV_1,1,30.860119047619047,5184.5
6,G017,102_PV_1,1,8.938690476190475,1501.6999999999998
6,G018,101_PV_1,1,8.973809523809525,1507.6000000000001
6,G019,102_PV_2,1,8.93452380952381,1501.0
6,G020,104_PV_1,1,9.061904761904762,1522.4
6,G021,101_PV_2,1,8.754166666666666,1470.7
6,G022,101_PV_3,1,8.854166666666666,1487.5
6,G023,101_PV_4,1,8.793452380952383,1477.3000000000002
6,G024,103_PV_1,1,15.692261904761907,2636.3
6,G025,119_PV_1,1,15.839285714285714,2661.0
6,G026,122_WIND_1,1,204.2953684650953,34321.62190213601
7,G001,101_CT_1;101_CT_2,2,-4.4774186132642195e-11,-7.522063270283889e-09
7,G002,101_STEAM_3;101_STEAM_4,2,65.50573505357137,11004.96348899999
7,G003,102_CT_1;102_CT_2,2,4.6497365812134396e-11,7.811557456438578e-09
7,G004,102_STEAM_3;102_STEAM_4,2,144.91069219047617,24344.996287999995
7,G005,107_CC_1,1,97.00555846997679,16296.9338229561
7,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,1.4606446013016542e-13,2.4538829301867793e-11
7,G007,115_STEAM_1;115_STEAM_2,2,-5.015758972181147e-12,-8.426475073264327e-10
7,G008,115_STEAM_3,1,151.0119080059524,25370.000545000003
7,G009,116_STEAM_1,1,101.54521542261816,17059.59619099985
7,G010,118_CC_1,1,47.385415196689394,7960.749753043819
7,G011,123_STEAM_2,1,154.7794720952372,26002.95131199985
7,G012,123_STEAM_3,1,309.7321493392893,52035.00108900061
7,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
7,G014,121_NUCLEAR_1,1,399.99999999999983,67199.99999999997
7,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,186.5357142857143,31337.999999999996
7,G016,113_PV_1,1,26.705357142857142,4486.5
7,G017,102_PV_1,1,7.981547619047619,1340.9
7,G018,101_PV_1,1,7.7160714285714285,1296.3
7,G019,102_PV_2,1,7.766666666666667,1304.8
7,G020,104_PV_1,1,7.891071428571429,1325.7
7,G021,101_PV_2,1,7.3619047619047615,1236.8
7,G022,101_PV_3,1,7.736309523809524,1299.7
7,G023,101_PV_4,1,7.658928571428571,1286.6999999999998
7,G024,103_PV_1,1,14.838690476190473,2492.8999999999996
7,G025,119_PV_1,1,14.674999999999997,2465.3999999999996
7,G026,122_WIND_1,1,65.1452380952381,10944.400000000001
10,G001,101_CT_1;101_CT_2,2,-1.4270804844430997e-11,-2.3974952138644075e-09
10,G002,101_STEAM_3;101_STEAM_4,2,20.884761773809707,3508.639978000031
10,G003,102_CT_1;102_CT_2,2,1.42763958723596e-11,2.3984345065564128e-09
10,G004,102_STEAM_3;102_STEAM_4,2,127.4768095577381,21416.1040057
10,G005,107_CC_1,1,24.110713994047604,4050.5999509999974
10,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,5.161050158670427e-15,8.670564266566316e-13
10,G007,115_STEAM_1;115_STEAM_2,2,-1.3904801582629406e-12,-2.33600666588174e-10
10,G008,115_STEAM_3,1,142.91588528988098,24009.868728700003
10,G009,116_STEAM_1,1,47.700798470237565,8013.7341429999115
10,G010,118_CC_1,1,9.414691248821327e-14,1.581668129801983e-11
10,G011,123_STEAM_2,1,150.2755572499998,25246.293617999967
10,G012,123_STEAM_3,1,224.37440119047776,37694.899400000264
10,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
10,G014,121_NUCLEAR_1,1,399.9523809523806,67191.99999999994
10,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,134.30714285714285,22563.6
10,G016,113_PV_1,1,22.59940476190476,3796.7
10,G017,102_PV_1,1,7.120833333333333,1196.3
10,G018,101_PV_1,1,7.260714285714285,1219.8
10,G019,102_PV_2,1,7.1035714285714295,1193.4
10,G020,104_PV_1,1,7.232738095238095,1215.1
10,G021,101_PV_2,1,6.99345238095238,1174.8999999999999
10,G022,101_PV_3,1,7.195833333333334,1208.9
10,G023,101_PV_4,1,7.1327380952380945,1198.3
10,G024,103_PV_1,1,12.619047619047619,2120.0
10,G025,119_PV_1,1,12.916666666666666,2170.0
10,G026,122_WIND_1,1,79.98665588750008,13437.758189100014
