month,name,bus,carrier,p_nom_mw,frozen_p_min_pu,frozen_p_max_pu_static,active,p_nom_extendable,admission,scope,full_eligibility,source_file_sha256
january,South Humber Bank,Keadby,CCGT,1365.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Langage,S.W.Penisula,CCGT,905.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Corby,Ratcliffe,CCGT,407.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Carrington,Daines,CCGT,910.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Fellside CHP*,Daines,CCGT,155.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Rocksavage,Deeside,CCGT,810.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Coryton,Kemsley,CCGT,800.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Spalding,Walpole,CCGT,950.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Marchwood,Lovedean,CCGT,898.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Didcot B,Bramley,CCGT,1450.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Great Yarmouth,Bramford,CCGT,420.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Little Barford,Sundon/East Claydon,CCGT,723.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Pembroke,Melksham,CCGT,2199.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Staythorpe C,Ratcliffe,CCGT,1772.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Seabank,Melksham,CCGT,1234.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Wilton GT*,S.W.Penisula,CCGT,120.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Peterhead,Peterhead,CCGT,1180.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Keadby,Keadby,CCGT,735.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Medway,Kemsley,CCGT,755.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Saltend*,Keadby,CCGT,1200.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Cottam Development Centre,Keadby,CCGT,445.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Enfield,London,CCGT,408.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Grain CHP*,Bramley,CCGT,1517.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Connahs Quay,Deeside,CCGT,1380.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,VPI Immingham*,Thornton/Drax/Eggborough,CCGT,1252.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Peterborough,Walpole,OCGT,245.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Glanford Brigg,Keadby,OCGT,99.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Drax GT,Thornton/Drax/Eggborough,OCGT,75.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Burghfield,Bramley,OCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Chickerell,S.W.Penisula,OCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Grain GT,Bramley,OCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Killingholme,Keadby,OCGT,600.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Drax - coal units,Thornton/Drax/Eggborough,coal,1320.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,West Burton,Keadby,coal,2000.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Ratcliffe,Ratcliffe,coal,2021.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Cowes,Lovedean,oil,140.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Didcot GT,Bramley,oil,100.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Lerwick,Peterhead,oil,67.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Indian Queens,S.W.Penisula,oil,140.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Grain (OCGT),Kemsley,oil,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Taylor's Lane GT,London,oil,144.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
july,Sutton Bridge,Walpole,CCGT,819.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Baglan Bay,Melksham,CCGT,520.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Severn Power,Feckenham,CCGT,850.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Blackburn,Penwortham,CCGT,60.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Damhead Creek,Kemsley,CCGT,805.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Rye House,Pelham,CCGT,715.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Shoreham,Lovedean,CCGT,420.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Castleford,Thornton/Drax/Eggborough,CCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Sandbach,Daines,CCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Thornhill,Th. Marsh/Stocksbridge,CCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,West Burton CCGT,Keadby,CCGT,1332.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,South Humber Bank,Keadby,CCGT,1365.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Langage,S.W.Penisula,CCGT,905.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Corby,Ratcliffe,CCGT,407.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Carrington,Daines,CCGT,910.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Fellside CHP*,Daines,CCGT,155.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Rocksavage,Deeside,CCGT,810.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Coryton,Kemsley,CCGT,800.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Spalding,Walpole,CCGT,950.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Marchwood,Lovedean,CCGT,898.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Didcot B,Bramley,CCGT,1450.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Great Yarmouth,Bramford,CCGT,420.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Little Barford,Sundon/East Claydon,CCGT,723.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Pembroke,Melksham,CCGT,2199.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Staythorpe C,Ratcliffe,CCGT,1772.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Seabank,Melksham,CCGT,1234.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Wilton GT*,S.W.Penisula,CCGT,120.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Peterhead,Peterhead,CCGT,1180.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Keadby,Keadby,CCGT,735.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Medway,Kemsley,CCGT,755.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Saltend*,Keadby,CCGT,1200.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Cottam Development Centre,Keadby,CCGT,445.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Enfield,London,CCGT,408.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Grain CHP*,Bramley,CCGT,1517.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Connahs Quay,Deeside,CCGT,1380.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,VPI Immingham*,Thornton/Drax/Eggborough,CCGT,1252.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Peterborough,Walpole,OCGT,245.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Glanford Brigg,Keadby,OCGT,99.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Drax GT,Thornton/Drax/Eggborough,OCGT,75.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Burghfield,Bramley,OCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Chickerell,S.W.Penisula,OCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Grain GT,Bramley,OCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Killingholme,Keadby,OCGT,600.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Drax - coal units,Thornton/Drax/Eggborough,coal,1320.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,West Burton,Keadby,coal,2000.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Ratcliffe,Ratcliffe,coal,2021.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Cowes,Lovedean,oil,140.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Didcot GT,Bramley,oil,100.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Lerwick,Peterhead,oil,67.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Indian Queens,S.W.Penisula,oil,140.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Grain (OCGT),Kemsley,oil,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
july,Taylor's Lane GT,London,oil,144.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,a5fc432d4012638cdfe50797183e129be134fef836738663858c6ef2561214ec
